car_id,make,model,year,mileage,fuel_type,transmission,engine_power,body_type,price
900502356,Škoda,Octavia,2012,238999,Diesel,M,77,H,125000
700167742,Škoda,Roomster,2011,219638,Benzín,M,63,MPV,85000
900501561,Škoda,Octavia,2010,278572,Diesel,A,77,C,110000
900500474,Škoda,Octavia,2012,320129,Diesel,M,103,C,110000
900505799,Citroen,C4,2009,196505,Benzín,M,65,H,60000
900501403,Škoda,Kodiaq,2024,17735,Diesel,A,110,SUV,960000
900500618,Hyundai,Tucson,2021,62715,Benzín,M,110,SUV,490000
900491837,Hyundai,i30,2021,58665,Mild-Hybrid (MHEV)Nejjednodušší forma hybridu. Pomáhá při rozjezdech nebo v nejnižších otáčkách.Benzín + Mild-Hybrid,A,117,H,410000
500036636,Ford,Kuga,2019,128007,Benzín,M,110,SUV,370000
900507447,Peugeot,2008,2021,31887,Benzín,M,74,SUV,380000
900500495,Škoda,Scala,2019,92498,Benzín,M,85,H,350000
900497768,Toyota,Corolla,2015,36802,Benzín,A,97,S,320000
900472624,Volkswagen,Passat,2014,180043,Diesel,A,130,C,308000
900480700,Škoda,Octavia,2020,80041,Diesel,M,85,C,300000
900491752,Citroen,Jumpy,2018,153361,Diesel,M,90,V,300000
900495744,Škoda,Scala,2019,146358,Benzín,M,85,H,270000
900498440,Peugeot,2008,2018,98883,Benzín,M,81,SUV,240000
900494441,Škoda,Rapid,2019,58307,Benzín,M,81,H,250000
900504833,Mercedes-Benz,B,2014,174141,Diesel,A,80,MPV,250000
900503878,Škoda,Octavia,2017,166435,Diesel,M,85,H,250000
900489249,Volkswagen,Touran,2017,181365,Diesel,M,85,MPV,240000
900502578,Škoda,Octavia,2015,90485,Diesel,M,77,C,230000
900473159,Volkswagen,Tiguan,2012,189622,Diesel,M,125,SUV,210000
900488990,Škoda,Octavia,2013,219870,Diesel,M,110,H,190000
900488066,Opel,Zafira,2014,148760,LPG,M,103,MPV,190000
900491683,Škoda,Octavia,2016,214843,Diesel,M,81,C,190000
900495684,Škoda,Octavia,2014,155741,Benzín,M,77,H,170000
900500127,Škoda,Rapid Spaceback,2015,194111,Benzín,M,77,H,170000
900505185,Škoda,Yeti,2012,217356,Diesel,M,81,SUV,170000
900500864,Škoda,Octavia,2013,179313,Benzín,M,77,H,160000
900503683,Škoda,Rapid Spaceback,2014,131760,Benzín,M,63,H,160000
900507913,Mercedes-Benz,C,2009,171335,Benzín,M,115,S,160000
900488273,Peugeot,2008,2015,125470,Benzín,M,60,SUV,160000
900496850,Škoda,Fabia,2015,191228,Diesel,M,66,C,140000
900489180,Opel,Insignia,2013,232146,Diesel,M,103,C,110000
900422741,BMW,X5,2023,15820,Mild-Hybrid (MHEV)Nejjednodušší forma hybridu. Pomáhá při rozjezdech nebo v nejnižších otáčkách.Diesel + Mild-Hybrid,A,210,SUV,2250000
900507776,BMW,X7,2020,117185,Diesel,A,195,SUV,1480000
